Symbol|Security Name|Market Category|Test Issue|Financial Status|Round Lot Size|ETF|NextShares
AACG|ATA Creativity Global - American Depositary Shares, each representing two common shares|G|N|N|100|N|N
AACI|Armada Acquisition Corp. I - Common Stock|G|N|N|100|N|N
AACIU|Armada Acquisition Corp. I - Unit|G|N|N|100|N|N
AACIW|Armada Acquisition Corp. I - Warrant|G|N|N|100|N|N
AADI|Aadi Bioscience, Inc. - Common Stock|S|N|N|100|N|N
AADR|AdvisorShares Dorsey Wright ADR ETF|G|N|N|100|Y|N
AAL|American Airlines Group, Inc. - Common Stock|Q|N|N|100|N|N
AAME|Atlantic American Corporation - Common Stock|G|N|E|100|N|N
AAOI|Applied Optoelectronics, Inc. - Common Stock|G|N|N|100|N|N
AAON|AAON, Inc. - Common Stock|Q|N|N|100|N|N
AAPB|GraniteShares 1.75x Long AAPL Daily ETF|G|N|N|100|Y|N
AAPD|Direxion Daily AAPL Bear 1X Shares|G|N|N|100|Y|N
AAPL|Apple Inc. - Common Stock|Q|N|N|100|N|N
AAPU|Direxion Daily AAPL Bull 1.5X Shares|G|N|N|100|Y|N
AAXJ|iShares MSCI All Country Asia ex Japan ETF|G|N|N|100|Y|N
ABCB|Ameris Bancorp - Common Stock|Q|N|N|100|N|N
ABCL|AbCellera Biologics Inc. - Common Shares|Q|N|N|100|N|N
ABCM|Abcam plc - American Depositary Shares|Q|N|N|100|N|N
ABEO|Abeona Therapeutics Inc. - Common Stock|S|N|N|100|N|N
ABIO|ARCA biopharma, Inc. - Common Stock|S|N|N|100|N|N
ABNB|Airbnb, Inc. - Class A Common Stock|Q|N|N|100|N|N
ABOS|Acumen Pharmaceuticals, Inc. - Common Stock|Q|N|N|100|N|N
ABSI|Absci Corporation - Common Stock|Q|N|N|100|N|N
ABST|Absolute Software Corporation - Common Stock|Q|N|N|100|N|N
ABUS|Arbutus Biopharma Corporation - Common Stock|Q|N|N|100|N|N
ABVC|ABVC BioPharma, Inc. - Common Stock|S|N|D|100|N|N
ACAB|Atlantic Coastal Acquisition Corp. II - Class A Common Stock|G|N|N|100|N|N
ACABU|Atlantic Coastal Acquisition Corp. II - Unit|G|N|N|100|N|N
ACABW|Atlantic Coastal Acquisition Corp. II - Warrant|G|N|N|100|N|N
ACAC|Acri Capital Acquisition Corporation - Class A Common Stock|G|N|D|100|N|N
ACACU|Acri Capital Acquisition Corporation - Unit|G|N|D|100|N|N
ACACW|Acri Capital Acquisition Corporation - Warrant|G|N|D|100|N|N
ACAD|ACADIA Pharmaceuticals Inc. - Common Stock|Q|N|N|100|N|N
ACAH|Atlantic Coastal Acquisition Corp. - Class A Common Stock|S|N|N|100|N|N
ACAHU|Atlantic Coastal Acquisition Corp. - Unit|S|N|N|100|N|N
ACAHW|Atlantic Coastal Acquisition Corp. - Warrant|S|N|N|100|N|N
ACAX|Alset Capital Acquisition Corp. - Class A Common Stock|G|N|D|100|N|N
ACAXR|Alset Capital Acquisition Corp. - Right|G|N|D|100|N|N
ACAXU|Alset Capital Acquisition Corp. - Unit|G|N|D|100|N|N
ACAXW|Alset Capital Acquisition Corp. - Warrant|G|N|D|100|N|N
ACB|Aurora Cannabis Inc. - Common Shares|Q|N|D|100|N|N
ACBA|Ace Global Business Acquisition Limited - Ordinary Shares|S|N|D|100|N|N
ACBAU|Ace Global Business Acquisition Limited - Unit|S|N|N|100|N|N
ACBAW|Ace Global Business Acquisition Limited - Warrant|S|N|N|100|N|N
ACCD|Accolade, Inc. - common stock|Q|N|N|100|N|N
ACDC|ProFrac Holding Corp. - Class A Common Stock|Q|N|N|100|N|N
ACDCW|ProFrac Holding Corp. - Warrant|Q|N|N|100|N|N
ACER|Acer Therapeutics Inc. - Common Stock|S|N|D|100|N|N
ACET|Adicet Bio, Inc. - Common Stock|G|N|N|100|N|N
ACGL|Arch Capital Group Ltd. - Common Stock|Q|N|N|100|N|N
ACGLN|Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G|Q|N|N|100|N|N
ACGLO|Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F|Q|N|N|100|N|N
ACGN|Aceragen, Inc. - Common Stock|S|N|E|100|N|N
